iter	RMSE
0	0.05930895953
1	0.05638113096
2	0.05309001797
3	0.05080147677
4	0.04781871044
5	0.04533200151
6	0.04329377468
7	0.04146156204
8	0.03944695787
9	0.03764844401
10	0.03596385287
11	0.03471259762
12	0.03384452046
13	0.03273367561
14	0.03158171265
15	0.03072689713
16	0.02969990628
17	0.02874560322
18	0.02802674297
19	0.02720669449
20	0.02635160488
21	0.02572438988
22	0.02532274614
23	0.02474953766
24	0.02442316072
25	0.0240573348
26	0.02374607467
27	0.02328387892
28	0.02286431886
29	0.02267117209
30	0.02237770518
31	0.02202441149
32	0.02184288854
33	0.02161767149
34	0.02147012616
35	0.02129797036
36	0.02111159283
37	0.02091010748
38	0.02081351239
39	0.02065934164
40	0.02043092829
41	0.02035508725
42	0.02011940476
43	0.01999926591
44	0.01992757373
45	0.01984569141
46	0.01963372192
47	0.01948466545
48	0.01943034105
49	0.01931263258
50	0.01915339189
51	0.01909563922
52	0.01901199602
53	0.01889479095
54	0.0187328485
55	0.01868091444
56	0.01861910871
57	0.01841056572
58	0.01832170708
59	0.01822509443
60	0.01818920027
61	0.01796005218
62	0.01781032266
63	0.01774621385
64	0.01764746653
65	0.01761843354
66	0.01756067434
67	0.01751407214
68	0.01732296256
69	0.01726514879
70	0.01703192044
71	0.01699968741
72	0.01697053023
73	0.01687332917
74	0.01667645162
75	0.01645913307
76	0.01644750117
77	0.01642726248
78	0.01631084956
79	0.01626113832
80	0.01614672794
81	0.01608375207
82	0.01605056871
83	0.01601656027
84	0.01592587991
85	0.01591661535
86	0.01585768024
87	0.01578002596
88	0.01570718318
89	0.01569483106
90	0.01548041785
91	0.0154597912
92	0.01530167775
93	0.01511847012
94	0.01505179583
95	0.01501957822
96	0.01491524055
97	0.01485187493
98	0.01469924195
99	0.01448646003
100	0.01433017011
101	0.01426905501
102	0.01421917178
103	0.01419810994
104	0.01415393115
105	0.0140927306
106	0.01405121188
107	0.01401081454
108	0.01389361807
109	0.01383670809
110	0.01362965123
111	0.01362050429
112	0.0135815886
113	0.01353251112
114	0.01344021511
115	0.01338040855
116	0.01330053527
117	0.01325955643
118	0.01310522621
119	0.01306436068
120	0.01293242691
121	0.0129056104
122	0.01282466236
123	0.01275357561
124	0.01263370986
125	0.01259626235
126	0.01256148498
127	0.01253397212
128	0.01250396459
129	0.01243561942
130	0.01233925952
131	0.01227244081
132	0.01214692054
133	0.01213376934
134	0.01204719268
135	0.01196250877
136	0.01185677349
137	0.01182480424
138	0.01171250068
139	0.01168209543
140	0.01164340573
141	0.01154183443
142	0.01148015788
143	0.01146301236
144	0.01140682401
145	0.01134629098
146	0.01129502058
147	0.01124497654
148	0.01121967605
149	0.0111724816
150	0.01107158617
151	0.01100965052
152	0.01094901322
153	0.01085063539
154	0.01080667707
155	0.01077612865
156	0.01068897669
157	0.01063275645
158	0.01051883977
159	0.01048172312
160	0.01046016522
161	0.01040644466
162	0.01034857418
163	0.01028323117
164	0.01021790858
165	0.01019749601
166	0.01015997399
167	0.01013238993
168	0.01010631447
169	0.01003150002
170	0.009968472159
171	0.009950195291
172	0.009891189522
173	0.009840587303
174	0.009817146859
175	0.009792383408
176	0.009741182639
177	0.009680132733
178	0.00959577092
179	0.009572282166
180	0.009527167087
181	0.009436563812
182	0.009413581276
183	0.009397108896
184	0.009376095738
185	0.009352339863
186	0.009331361219
187	0.009291117489
188	0.009236765268
189	0.009197519894
190	0.009178270237
191	0.00914432639
192	0.009119150366
193	0.009070191299
194	0.009017286208
195	0.008999787675
196	0.008964677209
197	0.00889571117
198	0.008879322932
199	0.008863111633
200	0.00881860364
201	0.008731789567
202	0.00871704769
203	0.008695635794
204	0.008679546126
205	0.008640583189
206	0.008596148825
207	0.00853596454
208	0.008502243255
209	0.008488489279
210	0.008461567308
211	0.008405983912
212	0.008353937188
213	0.008336778031
214	0.008316847647
215	0.008296249532
216	0.008236255987
217	0.008157841466
218	0.008128280792
219	0.008100716814
220	0.008040503011
221	0.008024741277
222	0.007973140933
223	0.007960853034
224	0.007945932353
225	0.007899808095
226	0.007880625001
227	0.007838417318
228	0.007779509883
229	0.007744666475
230	0.007702998437
231	0.007676931639
232	0.00763241037
233	0.007607056238
234	0.0075958906
235	0.007576527445
236	0.007566203389
237	0.007516627887
238	0.007487337906
239	0.007461301238
240	0.007452032308
241	0.007446718548
242	0.007409865706
243	0.007396200607
244	0.007388062916
245	0.007331885953
246	0.007329711006
247	0.007294561557
248	0.007261643403
249	0.007238914309
250	0.007236174794
251	0.007218500996
252	0.007154159649
253	0.007099627227
254	0.007062205677
255	0.007020448171
256	0.00699410831
257	0.006960703366
258	0.006927491229
259	0.006888667387
260	0.00686995647
261	0.00681805696
262	0.006789128503
263	0.006736985112
264	0.006718072052
265	0.006694745258
266	0.006660480449
267	0.006626970517
268	0.006604937532
269	0.006559171141
270	0.006504911074
271	0.006487020442
272	0.006462647765
273	0.006449536022
274	0.006412995369
275	0.006392818608
276	0.00637718055
277	0.006368407888
278	0.006339668463
279	0.0063172453
280	0.006300428127
281	0.006273626277
282	0.0062653553
283	0.006247748181
284	0.006226940847
285	0.006184595657
286	0.00615167921
287	0.006125425063
288	0.006110392904
289	0.006073881316
290	0.006054643942
291	0.006041149492
292	0.005997867009
293	0.005980415277
294	0.005947049762
295	0.005932340041
296	0.005904167393
297	0.005880346683
298	0.005860246353
299	0.005839622292
